Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Bearing,Cloud Cover,UV Index
"Aug 20, 2018, 7:05:16 PM",Evening Walk,Walk,3501,5.47,,3465,2.599999905,,78.54787445,,14.30000019,89.09999847,12.80000019,0.007306603,,,,,,,,,,,,
"Aug 21, 2015, 6:13:43 PM",Evening Run,Run,4572,14.49,,4572,4.199999809,,173.2980042,,1,116.9000015,10.5,0.00138002,,,,,,,,,,,,
"Aug 21, 2018, 6:13:25 PM",Evening Walk,Walk,3230,5.48,,3230,3.099999905,,76.5,,14.30000019,89.09999847,11.19999981,0.005471956,,,,,,,,,,,,
"Aug 21, 2021, 6:23:46 PM",â›… Evening Activity,Workout,3213,4.05,115,3126,2.599999905,1.298336506,21.99019623,103,2.5,14.39999962,5.099999905,0.002463904,82,52.8314209,97.06097412,17.55999947,17.57999992,14.96000004,0.850000024,1013.700012,7.289999962,264,0.300000012,0
"Aug 22, 2018, 7:12:50 PM",Evening Walk,Walk,3579,5.52,,3301,4.900000095,,76.55714417,,14.30000019,89.09999847,11.19999981,0.007242441,,,,,,,,,,,,
"Aug 22, 2019, 6:11:21 PM",Evening Run,Run,710,0.81,138,314,3.900000095,,24,5,53.20000076,58.09999847,11.69999981,0.098087296,87,81.66917419,123,,,,,,,,,
"Aug 22, 2019, 6:25:52 PM",Evening Run,Run,2,0,111,2,0.899999976,,0,0,54.70000076,54.79999924,5.599999905,5.555555344,58,58,110,,,,,,,,,
"Aug 22, 2019, 6:32:10 PM",Evening Run,Run,1810,6.47,171,1810,4.599999905,,195,172,41.20000076,58.09999847,5.599999905,0.027822861,91,87.18563843,159,,,,,,,,,
"Aug 22, 2020, 7:36:43 AM",â›… Morning Run,Run,4806,13.03,202,4396,4,2.96508193,144.4400024,340,103.5999985,197.8000031,11.69999981,0.005370363,111,82.13101196,168.4064636,13.35999966,13.35999966,10.39000034,0.819999993,1007.099976,7.070000172,241,0.639999986,0
"Aug 22, 2021, 12:59:11 PM",â›… Afternoon Swim,Swim,1707,653,,1675,0.699999988,0.389671654,2.700000048,2,4.599999905,8,5.199999809,0.107246824,31,28.25490189,,18.21999931,18.37000084,16.03000069,0.870000005,1022.400024,2.569999933,193,0.649999976,4
